cvegeo,material_mean,monetario_mean,material_sd,monetario_sd
07108,1.1123914506335766,0.17142524635570516,0.43709669684194197,0.289037614177288
07109,1.5553157834946711,0.4988125457995484,0.40507587417218655,0.28909859775945057
07110,0.1555924958164019,0.09064615917371557,0.4112384446640148,0.5573383089097115
07111,-0.386510817459181,2.3056204027811646,0.4424671698240569,0.7762645302089707
07112,-0.6638500931436182,-0.22238360855577513,0.412215072777973,0.709472667241205
07113,-1.3986659802818044,-0.12518231573691957,0.4591892853351488,0.9769878958329494
07114,-0.5687467775686693,0.1216536923154767,0.4299504354435929,0.9083840203634916
07115,-0.7004718143359137,0.3772718682308359,0.42424136445299376,0.36309478956744495
07116,-1.465047604204742,-0.6845875418705615,0.42869275573611876,0.6997612872671115
07117,-0.9766870239396515,0.039472276929156225,0.41960183548521823,0.3327061285794089
07118,-1.0411330680933428,1.2224005413199532,0.5260331237020209,1.1179900985273223
07119,-0.5554357241018637,-0.6176124874362665,0.518745992173772,0.7569253247617074
08001,-1.004978169324802,1.2494979061283173,0.4101318967975531,0.4828394107718836
08002,-1.290731162873675,-0.8602713137827611,0.3991608527837195,0.32636347827454015
08003,-1.0882912458440226,-0.4557807014172782,0.407731528690999,0.3446678197314377
08004,-1.9198536802182389,-0.2939140291877776,0.41184739855541025,0.4131397080510762
08005,-0.952946988215901,0.4416556728057987,0.40105256126338495,0.7417290932073409
08006,-1.192840525444232,0.300508106200345,0.5140231005879138,1.662439892711556
08007,1.6195119499907877,1.3519183173131781,0.6272451395475659,1.412528377927804
08008,1.069454949130399,1.5785784290400071,0.6397091696284537,1.3989728405612596
08009,1.4277908237695385,0.6673170015512868,0.449857774350985,0.19630816483521785
08010,-1.326384205083098,0.3414245068342061,0.4168882838866461,0.552007499059749
08011,-0.7162427742592643,-0.6294681880435116,0.3994588226522837,0.4254176156494806
08012,-0.38288213663253307,1.0132592995981338,0.7989749599209388,2.592681315838546
08013,-0.7000291334315195,-0.5692166583016331,0.4127229742966673,0.38371809344858626
08014,-2.819114615621263,-0.5606955571548068,0.47106672895863455,0.9296573449780025
08015,-1.0684279263148122,1.4694902632478033,0.4820987646036988,1.1199235427057368
08016,-2.105267636546885,-0.7695364424234324,0.4127924452847305,0.8413988026795977
08017,-1.0163838139460035,0.43775695534714565,0.3888302751076764,0.2075100423150002
08018,-1.9011725114341325,1.0947979873863003,0.5460373617311982,1.6905206960312316
08019,-1.436502669738519,-1.363074844709285,0.4254928251101245,0.6601375051469327
08020,0.7332725150628698,-0.1308625215727349,0.6129306821559355,0.9271039658875858
08021,-0.8936274773361728,-0.5793345161334376,0.4298721531239491,0.6079487560399164
08022,-1.1783743763115861,1.0195928907040912,0.4838945502772879,0.847386290193201
