cvegeo,m_educacion,m_lineas_sae,m_viv_servicios,m_educacion_sd,m_lineas_sae_sd,m_viv_servicios_sd,lisa,loc_peq_pct,pct_60mas,log_pob
07014,-0.0001917852691855615,1.0905289723083933,-0.03923292860124143,0.01411172416778739,0.310503844655904,0.1362226556420609,ns,75.9691838668479,5.504058006838875,4.385123455892216
07015,-0.0010472176391549232,0.40606559881986215,-0.024221202651512154,0.014180341615273316,0.2981416598490853,0.13536693495435853,ns,61.8694125159642,11.280731162196679,4.699941736041831
07016,-7.188423222502985e-05,-0.63590205946197,0.014586334138066476,0.014109655971677062,0.26074998209941314,0.13503531925426066,ns,100.0,15.540042000113512,4.2459812555626195
07017,-0.00045098225963852644,0.003286014384282062,0.033016797513560264,0.014123105028675037,0.2547147787080604,0.1358020122073181,ns,44.1570381131818,11.284135019181441,4.945005484781666
07018,-0.0014260369446169423,-0.41884267614951104,-0.05332857808554314,0.014252668703894534,0.25973729382957605,0.1377693686992337,ns,100.0,9.878787878787879,3.99563519459755
07019,-0.0010842614054832837,0.3954985259386254,0.044950528650608786,0.014190597801303793,0.2659908548388454,0.13673014808382558,ns,31.712380700213,9.722706976856141,5.22057352780535
07020,0.0008770170066042757,-0.5103904387352111,0.03406599685347595,0.014161546553345858,0.2563445975925899,0.135880741812012,ns,83.1951121794872,10.244391025641026,4.698274576674367
07021,-0.0006690096199696253,-0.1601710504002644,0.013655683587180844,0.014141065868447718,0.25285480119237425,0.1349656468777266,ns,67.8938356164384,12.094448449891852,4.34619644372921
07022,0.0019397799821895905,0.4624107034595691,0.02003481122996331,0.014380647263252682,0.25972229169715577,0.1356207495887673,ns,100.0,3.9151266255989046,4.340741474989978
07023,0.002922661080536464,0.28376792125658584,-0.03645218213143801,0.0147612776054061,0.42483354182823746,0.1360602851335838,ns,100.0,6.5285827767807225,5.008459641989671
07024,-0.0006027154749100005,0.0692651688772407,-0.02084290434388399,0.014131909184311819,0.2792282816583511,0.13539427927046374,ns,30.304138031876,5.878052346834332,4.136022599397011
07025,-0.0016902706232032251,0.2926134348385825,-0.03256417701761594,0.014315665941949026,0.27455922661997256,0.13587672535925155,ns,100.0,10.693254817987153,3.873436863222037
07026,0.0015354140411224925,0.9991528989294498,-0.034956596510517836,0.014293463826395191,0.32114841263996935,0.135931591022117,ns,100.0,4.745519410609867,4.675512552764644
07027,0.0007414098984692785,-0.18068962451043696,-0.0002742011069737671,0.014147397157643394,0.26222437382589875,0.13481162267615135,ns,42.9640865491858,9.2893151907205,5.049508747537829
07028,0.0005611747401912423,-0.14761439146632518,-0.03321176930251047,0.014139314556309719,0.2658460835665594,0.13584753474784206,ns,100.0,11.435997400909681,3.789298611159441
07029,-0.00021845669533894507,0.9672463126093886,-0.034400873800545156,0.01411166859205988,0.2630857291566869,0.13614330539155087,ns,100.0,10.773787486116253,3.732554579851432
07030,0.0005119903568628574,-0.6195563985493572,0.024782700295670538,0.014125659944583424,0.25491932246128496,0.13538619488279632,ns,80.7448688324045,9.759412804132118,4.565670760378518
07031,-0.00037779458045523616,0.18823320826502582,0.03785470067648105,0.014118979719967865,0.2575969439737774,0.13638889423666808,ns,88.5918899622619,5.300811586600807,5.137550322564531
07032,-0.00029106051620255503,-0.2848786025730227,0.024862531227367292,0.014114275057306228,0.25293538624371437,0.13547604389445958,ns,65.6136716727084,11.82353702744692,4.48990225643532
07033,0.0009125315362878099,-0.5775426543951198,-0.037134564644285814,0.01417066761359039,0.2962743961757322,0.13649556262448634,ns,100.0,7.646652864044167,3.8600383898071935
07034,0.0001903357102649771,0.3773036122606271,0.011950937004337274,0.014113099370902474,0.3005236033295409,0.13499603301122393,ns,73.1423909415677,9.498498090164036,4.9079324164503
07035,-0.0004579177862898878,-0.11075162951212418,0.01408550371464324,0.014123910528845042,0.2528921756166921,0.1349833009447829,ns,100.0,10.627919758175324,4.163042046914198
07036,-0.0008900216265565309,0.45360649654844326,0.023917930502864802,0.014158591907397992,0.29709061103867385,0.1355730824174506,ns,100.0,9.609141669912999,3.886547123391106
07037,-0.00018805056218885638,-0.7297637683645101,0.019002568425209126,0.014113706496994522,0.27976429684418486,0.13512823201267596,ns,57.9005311975339,11.441389370544684,4.560301258849639
07038,0.000556747737560352,1.0562805786903497,0.0546579777086519,0.014134548045642703,0.28347764221223515,0.13790604195640244,ns,100.0,8.7791077257889,4.361255520058149
07039,-4.8914457254061356e-05,-0.009579723202717485,-0.042882199174245655,0.014109798916922035,0.29941250964143373,0.13677065719081427,ns,100.0,7.528770659305202,4.445495226828908
07040,-0.0006098896211870876,-0.39601245340340907,0.02150102802482828,0.014136308914462948,0.25314779328813036,0.13521907031904873,AA,39.6923481462004,11.588595469741932,4.72625436108982
07041,0.0015357825670557137,0.3093031686950728,0.043125387151766226,0.014288882714676708,0.3383668677457187,0.1366921036134421,ns,75.5219892693228,8.845267081816027,4.666602210540106
07042,-0.0006377997140991352,-0.4854501993698627,-0.03737195354118432,0.014134968120014683,0.2768972453213808,0.13632268316216584,ns,100.0,8.473235475081305,4.056027758086362
