outcome,factor,modelo,estimador,r2cv_media,r2cv_sd,mae,moran_resid,mae_AA,mae_BB,mae_ns,r2_norte,r2_centro,r2_sur-sureste
rung3,monetario,M4_vistaD+lentes,ridge,-0.069,0.0459,0.7481,0.4074,0.7765,0.6509,0.7555,-0.0733,-0.0202,-0.0878
rung3,monetario,M4_vistaD+lentes,hgb,-0.0297,0.082,0.742,0.3674,0.7233,0.6013,0.7566,0.0112,0.0539,-0.104
indicadores,piso_tierra,M0_vistaD,ridge,0.2823,0.5193,0.5501,0.5271,0.6628,0.4758,0.5498,0.234,0.4031,0.252
indicadores,piso_tierra,M0_vistaD,hgb,0.0855,0.7936,0.6132,0.529,0.6681,0.5382,0.6167,0.1789,0.3537,-0.0072
indicadores,piso_tierra,M1_ntl,ridge,-0.5928,0.7602,0.7976,0.6274,0.783,0.5104,0.8258,-0.9033,-0.0482,-0.7702
indicadores,piso_tierra,M1_ntl,hgb,0.0486,0.4565,0.6504,0.5176,0.7554,0.5268,0.6553,0.1017,0.0539,-0.0021
indicadores,piso_tierra,M2_geografia,ridge,-0.0548,0.5658,0.7003,0.6765,0.8123,0.4511,0.7167,-0.5657,0.0424,0.0021
indicadores,piso_tierra,M2_geografia,hgb,-0.1282,0.6134,0.719,0.593,0.7956,0.5186,0.733,-0.3164,-0.2042,-0.0933
indicadores,piso_tierra,M3_lentes,ridge,-0.12,0.5217,0.6814,0.5835,0.7867,0.4494,0.6966,-0.341,0.049,-0.1752
indicadores,piso_tierra,M3_lentes,hgb,0.0924,0.4083,0.6445,0.5418,0.7189,0.5178,0.6517,0.2119,-0.0782,0.0767
indicadores,piso_tierra,M4_vistaD+lentes,ridge,0.3312,0.494,0.524,0.5004,0.6522,0.3936,0.5281,0.3591,0.4253,0.2952
indicadores,piso_tierra,M4_vistaD+lentes,hgb,0.2326,0.6509,0.559,0.5139,0.6038,0.4335,0.568,0.4322,0.3908,0.149
indicadores,car_servbas,M0_vistaD,ridge,0.4423,0.2019,0.5082,0.5732,0.4044,0.5521,0.5108,0.1022,0.4313,0.1349
indicadores,car_servbas,M0_vistaD,hgb,0.3469,0.2492,0.545,0.4978,0.4501,0.5942,0.5466,0.0547,0.3149,-0.0276
indicadores,car_servbas,M1_ntl,ridge,-0.2269,0.4564,0.7118,0.597,0.5015,0.4722,0.7483,-1.4326,-0.0627,-0.881
indicadores,car_servbas,M1_ntl,hgb,0.3279,0.1959,0.5759,0.4974,0.482,0.521,0.5872,0.0692,0.0274,0.0605
indicadores,car_servbas,M2_geografia,ridge,-0.1227,0.4707,0.7423,0.7063,0.5393,0.5023,0.7783,-1.751,0.1103,-0.5703
indicadores,car_servbas,M2_geografia,hgb,-0.1176,0.5672,0.7405,0.6039,0.5869,0.5079,0.7727,-0.9884,-0.1444,-0.6393
indicadores,car_servbas,M3_lentes,ridge,-0.0905,0.4283,0.6858,0.5967,0.5104,0.4931,0.7155,-1.0735,0.1071,-0.7077
indicadores,car_servbas,M3_lentes,hgb,0.2787,0.3209,0.5886,0.5035,0.4934,0.5019,0.6031,0.1461,0.0472,-0.079
